Sample,Assay,Day_Post_Stim,Media,Treatment,Fold_Change,Batch,raw_OD,,
275,ALP,3,DM,NC100,0.757056593,2,0.5021,,
276,ALP,3,DM,NC100,1.867989271,2,1.2389,,
277,ALP,3,DM,NC100,1.747819165,2,1.1592,,
278,ALP,3,DM,NC100,2.052390827,2,1.3612,,
279,ALP,3,DM,NC100,0.803948567,2,0.5332,,
280,ALP,3,DM,NC100,1.962376331,2,1.3015,,
281,ALP,3,DM,NC100,0.920288171,3,0.149,,
282,ALP,3,DM,NC100,1.042373538,3,0.168,,
283,ALP,3,DM,NC100,1.099388024,3,0.177,,
284,ALP,3,DM,NC100,1.304516229,3,0.211,,
285,ALP,3,DM,NC100,0.951274305,3,0.154,,
286,ALP,3,DM,NC100,1.119219149,3,0.181,,
287,ALP,3,DM,NC100,0.938260129,3,0.151,,
288,ALP,3,DM,NC100,1.074599117,3,0.173,,
289,ALP,3,DM,NC100,3.848406188,4,0.4633,,
290,ALP,3,DM,NC100,3.814349496,4,0.4592,,
291,ALP,3,DM,NC100,3.885785484,4,0.4678,,
292,ALP,3,DM,NC100,3.977157097,4,0.4788,,
293,ALP,3,DM,NC100,3.492887551,4,0.4205,,
294,ALP,3,DM,NC100,3.70387291,4,0.4459,,
295,ALP,3,DM,NC100,3.829301215,4,0.461,,
296,ALP,3,DM,NC100,3.831793168,4,0.4613,,
297,ALP,3,DM,NC200,1.326206523,2,0.214,,
298,ALP,3,DM,NC200,1.940971415,2,0.313,,
299,ALP,3,DM,NC200,1.51336277,2,0.244,,
300,ALP,3,DM,NC200,2.193818266,2,0.354,,
301,ALP,3,DM,NC200,1.411108529,2,0.228,,
302,ALP,3,DM,NC200,2.071113177,2,0.334,,
303,ALP,3,DM,NC200,1.293361221,2,0.209,,
304,ALP,3,DM,NC200,1.810209931,2,0.292,,
305,ALP,3,DM,NC200,3.981310352,4,0.2442,,
306,ALP,3,DM,NC200,3.254490707,4,0.247,,
307,ALP,3,DM,NC200,3.022739072,4,0.4141,,
308,ALP,3,DM,NC200,3.628283667,4,0.3401,,
309,ALP,3,DM,NC200,3.45966151,4,0.6123,,
310,ALP,3,DM,NC200,3.390717475,4,0.2518,,
311,ALP,3,DM,NC200,3.025231025,4,0.328,,
312,ALP,3,DM,NC200,4.265393002,4,0.4442,,
313,ALP,3,DM,NC200,3.764510435,4,0.5358,,
314,ALP,3,DM,NC200,3.065932925,4,1.0668,,
315,ALP,3,DM,NC200,2.906447929,4,0.5832,,
316,ALP,3,DM,NC200,3.401515938,4,0.6185,,
317,ALP,3,DM,NC200,3.25698266,4,0.7057,,
318,ALP,3,DM,NC200,2.998650192,4,0.5083,,
319,ALP,3,DM,NC200,2.827536081,4,0.4128,,
320,ALP,3,DM,NC200,4.229675008,4,1.1732,,
321,ALP,3,DM,P30,1.169736118,2,0.7758,,
322,ALP,3,DM,P30,0.869386241,2,0.5766,,
323,ALP,3,DM,P30,0.945981491,2,0.6274,,
324,ALP,3,DM,P30,0.407553071,2,0.2703,,
325,ALP,3,DM,P30,1.171847011,2,0.7772,,
326,ALP,3,DM,P30,0.882805487,2,0.5855,,
327,ALP,3,DM,P30,0.967391974,2,0.6416,,
328,ALP,3,DM,P30,0.399712613,2,0.2651,,
329,ALP,3,DM,P30,0.832907274,3,0.134,,
330,ALP,3,DM,P30,0.859555349,3,0.139,,
331,ALP,3,DM,P30,0.78332946,3,0.126,,
332,ALP,3,DM,P30,0.789526687,3,0.127,,
333,ALP,3,DM,P30,0.858935626,3,0.139,,
334,ALP,3,DM,P30,0.912231776,3,0.147,,
335,ALP,3,DM,P30,0.813076148,3,0.131,,
336,ALP,3,DM,P30,0.829188938,3,0.134,,
337,ALP,3,DM,P30,1.105596511,4,0.1331,,
338,ALP,3,DM,P30,1.108088464,4,0.1334,,
339,ALP,3,DM,P30,1.078185028,4,0.1298,,
340,ALP,3,DM,P30,0.925345239,4,0.1114,,
341,ALP,3,DM,P30,0.97435365,4,0.1173,,
342,ALP,3,DM,P30,1.025854013,4,0.1235,,
343,ALP,3,DM,P30,1.060741356,4,0.1277,,
344,ALP,3,DM,P30,0.912885474,4,0.1099,,
345,ALP,3,DM,P100,0.948846274,2,0.6293,,
346,ALP,3,DM,P100,0.452635708,2,0.3002,,
347,ALP,3,DM,P100,0.959853071,2,0.6366,,
348,ALP,3,DM,P100,0.778014742,2,0.516,,
349,ALP,3,DM,P100,0.964828747,2,0.6399,,
350,ALP,3,DM,P100,0.46876896,2,0.3109,,
351,ALP,3,DM,P100,0.981414333,2,0.6509,,
352,ALP,3,DM,P100,0.795806552,2,0.5278,,
353,ALP,3,DM,P100,1.029176617,4,0.1239,,
354,ALP,3,DM,P100,0.931990448,4,0.1122,,
355,ALP,3,DM,P100,0.721835739,4,0.0869,,
356,ALP,3,DM,P100,0.922022635,4,0.111,,
357,ALP,3,DM,P100,0.907070917,4,0.1092,,
358,ALP,3,DM,P100,0.948603468,4,0.1142,,
359,ALP,3,DM,P100,0.955248676,4,0.115,,
360,ALP,3,DM,P100,0.843941439,4,0.1016,,
361,ALP,3,DM,P100,0.98266016,4,0.1183,,
362,ALP,3,DM,P100,0.91786938,4,0.1105,,
363,ALP,3,DM,P100,0.715190531,4,0.0861,,
364,ALP,3,DM,P100,0.918700031,4,0.1106,,
365,ALP,3,DM,P100,0.881320735,4,0.1061,,
366,ALP,3,DM,P100,0.902087011,4,0.1086,,
367,ALP,3,DM,P100,0.895441803,4,0.1078,,
368,ALP,3,DM,P100,0.835634929,4,0.1006,,
369,ALP,3,DM,NC10P30,0.602810647,2,0.3998,,
370,ALP,3,DM,NC10P30,0.458817609,2,0.3043,,
371,ALP,3,DM,NC10P30,0.666891319,2,0.4423,,
372,ALP,3,DM,NC10P30,0.711823178,2,0.4721,,
373,ALP,3,DM,NC10P30,0.60492154,2,0.4012,,
374,ALP,3,DM,NC10P30,0.457309828,2,0.3033,,
375,ALP,3,DM,NC10P30,0.669002211,2,0.4437,,
376,ALP,3,DM,NC10P30,0.702173382,2,0.4657,,
377,ALP,3,DM,NC10P30,0.991797321,4,0.1194,,
378,ALP,3,DM,NC10P30,0.867199668,4,0.1044,,
379,ALP,3,DM,NC10P30,0.918700031,4,0.1106,,
380,ALP,3,DM,NC10P30,0.869691621,4,0.1047,,
381,ALP,3,DM,NC10P30,0.977676254,4,0.1177,,
382,ALP,3,DM,NC10P30,0.96687779,4,0.1164,,
383,ALP,3,DM,NC10P30,0.985982764,4,0.1187,,
384,ALP,3,DM,NC10P30,0.850586647,4,0.1024,,
385,ALP,3,DM,NC10P30,0.994289274,4,0.1197,,
386,ALP,3,DM,NC10P30,0.872183574,4,0.105,,
387,ALP,3,DM,NC10P30,0.928667843,4,0.1118,,
388,ALP,3,DM,NC10P30,0.879659433,4,0.1059,,
389,ALP,3,DM,NC10P30,0.99096667,4,0.1193,,
390,ALP,3,DM,NC10P30,0.920361333,4,0.1108,,
391,ALP,3,DM,NC10P30,0.953587374,4,0.1148,,
392,ALP,3,DM,NC10P30,0.845602741,4,0.1018,,
393,ALP,3,DM,NC10P100,0.464999509,2,0.3084,,
394,ALP,3,DM,NC10P100,0.623165684,2,0.4133,,
395,ALP,3,DM,NC10P100,1.265027846,2,0.839,,
396,ALP,3,DM,NC10P100,0.429566667,2,0.2849,,
397,ALP,3,DM,NC10P100,0.463793284,2,0.3076,,
398,ALP,3,DM,NC10P100,0.631458477,2,0.4188,,
399,ALP,3,DM,NC10P100,0.731876658,2,0.4854,,
400,ALP,3,DM,NC10P100,0.430622113,2,0.2856,,
401,ALP,3,DM,NC10P100,0.839788184,4,0.1011,,
402,ALP,3,DM,NC10P100,0.61717371,4,0.0743,,
403,ALP,3,DM,NC10P100,0.976014952,4,0.1175,,
404,ALP,3,DM,NC10P100,0.8937805,4,0.1076,,
405,ALP,3,DM,NC10P100,0.804900841,4,0.0969,,
406,ALP,3,DM,NC10P100,0.751739176,4,0.0905,,
407,ALP,3,DM,NC10P100,0.77998131,4,0.0939,,
408,ALP,3,DM,NC10P100,0.848925345,4,0.1022,,
409,ALP,3,DM,NC10P100,0.848925345,4,0.1022,,
410,ALP,3,DM,NC10P100,0.642093241,4,0.0773,,
411,ALP,3,DM,NC10P100,1.061572007,4,0.1278,,
412,ALP,3,DM,NC10P100,0.985982764,4,0.1187,,
413,ALP,3,DM,NC10P100,0.849755996,4,0.1023,,
414,ALP,3,DM,NC10P100,0.772505451,4,0.093,,
415,ALP,3,DM,NC10P100,0.800747586,4,0.0964,,
416,ALP,3,DM,NC10P100,0.864707715,4,0.1041,,
417,ALP,3,DM,NC100P30,1.086355856,2,0.7205,,
418,ALP,3,DM,NC100P30,4.549426126,2,3.0173,,
419,ALP,3,DM,NC100P30,1.946695414,2,1.2911,,
420,ALP,3,DM,NC100P30,1.100528993,2,0.7299,,
421,ALP,3,DM,NC100P30,1.084848075,2,0.7195,,
422,ALP,3,DM,NC100P30,3.922038657,2,2.6012,,
423,ALP,3,DM,NC100P30,1.761992301,2,1.1686,,
424,ALP,3,DM,NC100P30,1.09992588,2,0.7295,,
425,ALP,3,DM,NC100P30,1.146298411,4,0.138,,
426,ALP,3,DM,NC100P30,1.412106739,4,0.17,,
427,ALP,3,DM,NC100P30,1.586543453,4,0.191,,
428,ALP,3,DM,NC100P30,1.010902295,4,0.1217,,
429,ALP,3,DM,NC100P30,1.069878517,4,0.1288,,
430,ALP,3,DM,NC100P30,0.995950576,4,0.1199,,
431,ALP,3,DM,NC100P30,0.862215762,4,0.1038,,
432,ALP,3,DM,NC100P30,2.439622054,4,0.2937,,
433,ALP,3,DM,NC100P30,1.180355103,4,0.1421,,
434,ALP,3,DM,NC100P30,1.431211712,4,0.1723,,
435,ALP,3,DM,NC100P30,1.589035406,4,0.1913,,
436,ALP,3,DM,NC100P30,1.062402658,4,0.1279,,
437,ALP,3,DM,NC100P30,1.074031772,4,0.1293,,
438,ALP,3,DM,NC100P30,0.984321462,4,0.1185,,
439,ALP,3,DM,NC100P30,0.878828782,4,0.1058,,
440,ALP,3,DM,NC100P30,1.357283771,4,0.1634,,
441,ALP,3,DM,NC100P100,1.498583047,2,0.9939,,
442,ALP,3,DM,NC100P100,1.704395086,2,1.1304,,
443,ALP,3,DM,NC100P100,1.805114824,2,1.1972,,
444,ALP,3,DM,NC100P100,0.441779689,2,0.293,,
445,ALP,3,DM,NC100P100,1.376603604,2,0.913,,
446,ALP,3,DM,NC100P100,1.731535135,2,1.1484,,
447,ALP,3,DM,NC100P100,1.8224543,2,1.2087,,
448,ALP,3,DM,NC100P100,0.448263145,2,0.2973,,
449,ALP,3,DM,NC100P100,0.966047139,4,0.1163,,
450,ALP,3,DM,NC100P100,0.87716748,4,0.1056,,
451,ALP,3,DM,NC100P100,0.900425709,4,0.1084,,
452,ALP,3,DM,NC100P100,0.906240266,4,0.1091,,
453,ALP,3,DM,NC100P100,1.068217215,4,0.1286,,
454,ALP,3,DM,NC100P100,0.847264043,4,0.102,,
455,ALP,3,DM,NC100P100,0.8123767,4,0.0978,,
456,ALP,3,DM,NC100P100,1.164572734,4,0.1402,,
457,ALP,3,DM,NC100P100,0.98266016,4,0.1183,,
